Segment	Phoneme	Phoneme2	Notes	in.phoible
(ã)	(ã)	(ã)	NA	FALSE
(bʲ)	(bʲ)	(bʲ)	NA	FALSE
(ɕ)	(ɕ)	(ɕ)	NA	FALSE
(dʲ)	(dʲ)	(dʲ)	NA	FALSE
(dz̪)	(dz̪)	(dz̪)	NA	FALSE
(e̞ː)	(e̞ː)	(e̞ː)	NA	FALSE
(ə)	(ə)	(ə)	NA	FALSE
(ɛ̃)	(ɛ̃)	(ɛ̃)	NA	FALSE
(ɛː)	(ɛː)	(ɛː)	NA	FALSE
(gʲ)	(gʲ)	(gʲ)	NA	FALSE
(iː)	(iː)	(iː)	NA	FALSE
(i̯e̞)	(i̯e̞)	(i̯e̞)	NA	FALSE
(lʲ)	(lʲ)	(lʲ)	NA	FALSE
(nʲ)	(nʲ)	(nʲ)	NA	FALSE
(œ)	(œ)	(œ)	NA	FALSE
(œː)	(œː)	(œː)	NA	FALSE
(ɔ̃)	(ɔ̃)	(ɔ̃)	NA	FALSE
(ɔː)	(ɔː)	(ɔː)	NA	FALSE
(sʲ)	(sʲ)	(sʲ)	NA	FALSE
(ʃ)	(ʃ)	(ʃ)	NA	FALSE
(uː)	(uː)	(uː)	NA	FALSE
(ɯ̯ɤ̞)	(ɯ̯ɤ̞)	(ɯ̯ɤ̞)	NA	FALSE
(ɯi̯)	(ɯi̯)	(ɯi̯)	NA	FALSE
(yː)	(yː)	(yː)	NA	FALSE
(z)	(z)	(z)	NA	FALSE
(ʑ)	(ʑ)	(ʑ)	NA	FALSE
(ʒ)	(ʒ)	(ʒ)	NA	FALSE
a	a	a	NA	TRUE
ä	ä	ä	conventionalized	TRUE
ä	ä	ä	NA	TRUE
ä̃	ã̈	ä̃	NA	FALSE
ä̠	ä̠	ä̠	NA	FALSE
ä̤	ä̤	ä̤	NA	FALSE
ã	ã	ã	NA	TRUE
ã̤	ã̤	ã̤	NA	FALSE
a̟	a̟	a̟	NA	TRUE
a̤	a̤	a̤	NA	TRUE
a̰	a̰	a̰	NA	TRUE
a˞	a˞	a˞	NA	TRUE
a˞ː	a˞ː	a˞ː	new segment type added	FALSE
a˞ˤ	a˞ˤ	a˞ˤ	new segment type added	FALSE
aː	aː	aː	NA	TRUE
äː	äː	äː	new segment type added	FALSE
äː	äː	äː	new segment type added	FALSE
äː̃	ã̈ː	äː̃	NA	FALSE
ä̃ː	ã̈ː	ä̃ː	NA	FALSE
