Phoneme,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
h,consonant,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
j,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-
k,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
l,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
m,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
n,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
p,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
w,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,0,0,+,-,-,-,-,-,-,-
ŋ,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ʔ,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
a,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0
aː,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0
e,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
eː,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
i,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
iː,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
o,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
oː,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
u,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
uː,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
y,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
æ,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,+,-,0,-,-,+,-,-,-,0,-,-,0
æː,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,+,-,0,-,-,+,-,-,-,0,-,-,0
ø,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ɔ,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
ɨ,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
k͈,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,+,-,-,-
p͈,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,+,-,-,-
