"IPA_for_PHOIBLE"	"Glottolog_code"	"Variety_name"	"Source"	"Source_ref"	"Comments"
"t"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ʈ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ȶ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"k"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"p"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"n"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ɳ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ȵ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ŋ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"m"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"l"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ɭ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ȴ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"r"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"ɻ"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"j"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"w"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"i"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"u"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"a"	"guda1242"	"Gudanji"	"Aguas 1968"	"http://glottolog.org/resource/reference/id/303944"	""
"t"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ʈ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"t̪"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ȶ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"k"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"p"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ʔ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"n"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ɳ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"n̪"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ȵ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ŋ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"m"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"l"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ɭ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"l̪"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"r"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ɻ"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"j"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"w"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"i"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"u"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"a"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"e"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"o"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"ə"	"yiry1245"	"Yir Yoront"	"Alpher 1991"	"http://glottolog.org/resource/reference/id/151393"	""
"t̺"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"t̪"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"ȶ"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"k"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"p"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"n̺"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"n̪"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"ȵ"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"ŋ"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"m"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"l̺"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"r̺"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"ɹ̺"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"j"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"w"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"i"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"iː"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"u"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"uː"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"a"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"aː"	"gami1243"	"Gamilaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"t̺"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"t̪"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"ȶ"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"k"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"p"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"n̺"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"n̪"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"ȵ"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
"ŋ"	"wirr1237"	"Wiriyaraay"	"Ash et al. 2006"	"http://glottolog.org/resource/reference/id/306413"	""
