IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	Source	Source_ref	Comments
t͉	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
t͈	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ʈ͉	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ʈ͈	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ȶ͉	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ȶ͈	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
k͉	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
k͈	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
p͉	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
p͈	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
n	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ɳ	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ȵ	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ŋ	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
m	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
l	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ɭ	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
r	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
ɻ	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
j	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
w	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
i	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
u	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
a	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
e	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
o	bura1267		Burarra	Green 1987	http://glottolog.org/resource/reference/id/25099	Please see also the general comparative notes on Australian inventories.
t	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ʈ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
t̪	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ȶ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
k	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
p	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
n	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ɳ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
n̪	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ȵ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ŋ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
m	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
l	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ɭ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ȴ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
r	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
ɻ	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
j	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
w	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
i	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
u	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
a	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
aː	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
j̪	buna1275		Bunuba	Rumsey 2000	http://glottolog.org/resource/reference/id/62949	Please see also the general comparative notes on Australian inventories.
t	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ʈ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
t̪	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ȶ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
k	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
p	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
n	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ɳ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
n̪	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ȵ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ŋ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
m	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
l	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ɭ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ȴ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
r	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
ɻ	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
j	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
w	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
i	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
u	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
a	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
aː	goon1238		Gooniyandi	McGregor 1990	http://glottolog.org/resource/reference/id/98977	Please see also the general comparative notes on Australian inventories.
t	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ʈ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
ȶ	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
k	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
p	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
n	madn1237		Matngele	Zandvoort 1999	http://glottolog.org/resource/reference/id/126849	Please see also the general comparative notes on Australian inventories.
