surb1238,sbj
west2643,jmx
sors1239,ays
edom1234,xdm
dibi1240,dby
wadd1237,wbq
umbu1235,umr
waha1238,whk
obol1243,ann
bala1302,bjt
bala1301,ble
kinn1249,kfk
zaza1245,jaj
zaza1246,zza
mama1278,wmd
qash1240,qxq
kamo1254,kcq
kamo1255,kgq
mama1271,myk
mama1272,mma
sioo1240,xsi
tson1249,tso
mama1275,mmn
mama1276,mqj
mama1277,mhf
usil1237,cuc
diaa1238,dia
urni1239,urc
ston1242,sto
moza1235,mzy
anda1280,hca
anda1283,afd
orow1243,orw
anda1284,aod
anda1287,xaa
anda1286,ana
duru1236,pci
east2304,bgp
togb1241,tor
wasu1238,wsu
sout2649,pbt
waha1239,whu
sout2640,sdh
sout2642,bcc
kode1237,vko
sout2647,luz
kofa1236,kso
guya1249,gvy
warr1255,wgy
warr1258,wwr
piji1239,pis
nyaw1247,nyt
nyaw1245,nyw
bala1306,blg
kaza1248,kaz
bamw1238,bmg
sanu1240,xsu
kate1253,kmg
egyp1253,arz
arib1241,laz
gela1263,nlg
gela1261,gio
nepa1250,nsp
shix1238,sxg
kiry1234,fkk
alya1239,aly
rakh1245,rki
khwa1238,xco
many1259,mny
eteo1236,ecr
matb1237,xmt
katb1237,tmb
embe1259,bdc
utes1238,ute
tanj1247,uji
oldk1250,qkn
bent1237,bnu
yard1234,yxl
bent1238,dbt
bret1244,bre
espe1235,epo
kooo1244,fuj
tont1239,tnt
donn1238,dds
ifoo1237,iff
area1240,alu
nali1245,nss
nali1244,nal
matu1259,mgw
emae1237,mmw
tawa1286,ttq
mopa1243,mop
colu1241,col
tawa1289,twm
umbi1243,umd
mirg1238,zrg
kita1249,mwk
sout2982,pom
chil1275,clh
kuvi1243,kxv
sana1281,sap
sana1286,ztm
peer1241,pfe
kuan1249,ykn
hurr1240,xhu
wotu1240,wtw
kuan1246,uan
kuan1247,kua
watu1247,wah
garh1243,gbm
nisi1239,dap
nisi1238,yso
