InventoryID,FileNames,BibtexKey,LanguageName,SpecificDialect,Glottocode,LanguageCode,URI,Source,NewGlottologcode,LanguageLevelGlottocode
3022,Visser2016.pdf,Visser2016,Kalamang,,kara1499,kgv,,hupc,,
3023,mayo1993belorussian.pdf,mayo1993belorussian,Belorussian,,bela1254,bel,,hupc,,
3024,seiler1977cahuilla.pdf,seiler1977cahuilla,Cahuilla,,cahu1264,chl,,hupc,,
3025,ebert1997camling.pdf,ebert1997camling,Camling,,caml1239,rab,,hupc,,
3026,elson1992mixezoque.pdf,elson1992mixezoque,Coatlán Mixe,,coat1238,mco,,hupc,,
3027,layton2000coptic.pdf,layton2000coptic,Coptic,Sahidic,copt1239,cop,,hupc,,
3028,bashir2007dardic.pdf,bashir2007dardic,Dameli,,dame1241,dml,,hupc,,
3029,dejong2009sierrapopoluca.pdf,dejong2009sierrapopoluca,Sierra Popoluca,,high1276,poi,,hupc,,
3030,hofling2000itzajmaya.pdf,hofling2000itzajmaya,Itzaj Maya,,itza1241,itz,,hupc,,
3031,dwivedikar2016kanauji.pdf,dwivedikar2016kanauji,Kanauji,Kanpur,kana1281,bjj,,hupc,,
3032,khalilova2009khwarshi.pdf,,Khwarshi,Kwantlada,khva1239,khv,,hupc,,
3033,daniels2015sogeram.pdf,,Aisi,Mabɨŋ,musa1266,mmq,,hupc,,
3034,aarsjo1999ama.pdf,,Ama (Papua New Guinea),,amap1240,amm,,hupc,,
3035,dohler2016komnzo.pdf,,Anta-Komnzo-Wára-Wérè-Kémä,Komnzo,wara1294,tci,,hupc,,
3036,collins2003asilulu.pdf,,Asilulu,,asil1242,asl,,hupc,,
3037,budd2010bierebo.pdf,,Bierebo,Bonkovio,bier1244,bnk,,hupc,,
3038,dalrymple2012dusner.pdf,,Dusner,,dusn1237,dsn,,hupc,,
3039,gossner1998easternedolo.pdf,,Edolo,Eastern,east2495,etr,,hupc,,
3040,daniels2015sogeram.pdf,,Gants,,gant1244,gao,,hupc,,
3041,auri1991kaure.pdf,,Kaure-Narau,,kaur1271,bpp,,hupc,,
3042,adelaar2005salako.pdf,,Kendayan,Salako,kend1254,knx,,hupc,,
3043,blust2003short.pdf,,Kiput,,kipu1237,kyi,,hupc,,
3044,bradshaw2012koki.pdf,,Doromu-Koki,Koki,koki1244,kqc,,hupc,,
3045,abdurrahman1979komering.pdf,,Komering,,kome1238,kge,,hupc,,
3046,aarsjo2016konai.pdf,,Konai,Dahamo,kona1242,kxw,,hupc,,
3047,blust1998lou.pdf,,Lou,,louu1245,loj,,hupc,,
3048,correia2011makasae.pdf,,Makasai,Northern,maka1317,mkz,,hupc,,
3049,huber2011makalero.pdf,,Maklere,,makl1245,mjb,,hupc,,
3050,aikhenvald2010manambu.pdf,,Manambu,Avatip,mana1298,mle,,hupc,,
3051,daniels2015sogeram.pdf,,Manat,,payn1244,pmr,,hupc,,
3052,berghall2015mauwake.pdf,,Mauwake,coastal,mauw1238,mhl,,hupc,,
3053,hatfield2016mehek.pdf,,Mehek,,mehe1243,nux,,hupc,,
3054,chlenova2008westdamar.pdf,,West Damar,,west2548,drn,,hupc,,
3055,MacKenzie1961Kurdish,,Northern Kurdish,Akre,akre1239,kmr,,hupc,,nort2641
3056,Sabuni1980Aleppo,,Northern Levantine Arabic,Aleppo Arabic,alep1241,apc,,hupc,,nort3139
3057,Coghill2004Alqosh,,Chaldean Neo-Aramaic,Alqosh,alqo1238,cld,,hupc,,chal1275
3058,Greenblatt2011Amadiya,,Lishana Deni,Jewish Amadiya,amad1244,lsd,,hupc,,lish1247
3059,Khan1999Arbel,,Lishanid Nosan,Arbel,arbe1239,aij,,hupc,,lish1245
3060,Mutzafi2000Baz,,Assyrian Neo-Aramaic,Maha Khtaya d-Baz,bazz1238,aii,,hupc,,assy1241
3061,Mutzafi2008Betanure,,Lishana Deni,Betanure,beta1257,lsd,,hupc,,lish1247
3062,MacKenzie1961BingirdPizhi,,Central Kurdish,Bingird and Pizhdar Sorani Kurdish,bing1247,ckb,,hupc,,cent1972
3063,Fox2009Bohtan,,Bohtan Neo-Aramaic,Bohtan,boht1239,NA,,hupc,,boht1239
3064,Khan2002Qaraqosh,,Chaldean Neo-Aramaic,Qaraqosh,chal1275,cld,,hupc,chri1238,chal1275
3065,Todd2002Dimili,,Dimli,Dimli,diml1238,diq,,hupc,,diml1238
3066,Mahmoudveysi2012GawrajuGorani,,Gurani,Gawraju Gorani,gawh1238,hac,,hupc,,gura1251
3067,Mahmoudveysi2013ZardaGorani,,Gurani,Zarda Gorani,gura1251,hac,,hupc,zard1234,gura1251
3068,Jastrow1988Hertevin,,Bohtan Neo-Aramaic,Hertevin,hert1241,hrt,,hupc,,boht1239
3069,MacKenzie1961ArbilSorani,,Central Kurdish,Arbil Sorani Kurdish,hewl1238,ckb,,hupc,,cent1972
3070,Encyclopaedia_IranicaNeo-Mandaic,,Mandaic,Neo-Mandaic,iraq1245,mid,,hupc,,nucl1706
3071,Fox1997Jilu,,Assyrian Neo-Aramaic,Jilu,jilu1238,aii,,hupc,,assy1241
3072,Yarshater1960KajalTati,,Kajali (Tati),Kajal Tati,kaja1247,xkj,,hupc,,kaja1247
3073,Mutzafi2004KoySanjaq,,Lishanid Noshan,Koy Sanjaq,koys1241,aij,,hupc,,lish1245
3074,Fassberg2010Challa,,Lishana Deni,Jewish Challa,lish1247,lsd,,hupc,chal1276,lish1247
