"Inventory_ID","ISO639P3code","Glottocode","phonemes","consonants","vowels","tones","LanguageName","level","macroarea","latitude","longitude","Genus","family_id","FamilyName"
1,"kor","kore1280",40,22,18,0,"Korean","language","Eurasia",37.5,128,"","kore1284","Koreanic"
2,"ket","kett1243",32,18,14,0,"Ket","language","Eurasia",63.7551,87.5466,"Yeniseian","yeni1252","Yeniseian"
3,"lbe","lakk1252",69,60,9,0,"Lak","language","Eurasia",42.1328,47.0809,"Lak-Dargwa","nakh1245","Nakh-Daghestanian"
4,"kbd","kaba1278",56,49,7,0,"Kabardian","language","Eurasia",43.5082,43.3918,"Northwest Caucasian","abkh1242","Abkhaz-Adyge"
5,"kat","nucl1302",35,29,6,0,"Georgian","language","Eurasia",41.850397,43.78613,"Kartvelian","kart1248","Kartvelian"
6,"bsk","buru1296",53,38,12,3,"Burushaski","language","Eurasia",36.2161,74.8236,"","buru1296","Burushaski"
7,"kru","kuru1302",68,46,22,0,"Kurukh","language","Eurasia",24.4644,86.4657,"Northern Dravidian","drav1251","Dravidian"
8,"tel","telu1262",68,47,21,0,"Telugu","language","Eurasia",16.4529,78.7024,"South-Central Dravidian","drav1251","Dravidian"
9,"kfe","kota1263",34,23,11,0,"Kota (India)","language","Eurasia",11.4978,76.9387,"Southern Dravidian","drav1251","Dravidian"
10,"unr","mund1320",37,32,5,0,"Mundari","language","Eurasia",23.03,85.85,"Munda","aust1305","Austroasiatic"
10,"unr","mund1320",37,32,5,0,"Mundari","language","Eurasia",23.03,85.85,"Munda","aust1305","Austroasiatic"
11,"khr","khar1287",41,31,10,0,"Kharia","language","Eurasia",22.3571,84.3922,"Munda","aust1305","Austroasiatic"
12,"kha","khas1269",28,19,9,0,"Khasi","language","Eurasia",24.977,91.9998,"Khasian","aust1305","Austroasiatic"
13,"sed","seda1262",53,39,14,0,"Sedang","language","Eurasia",14.7793,108.027,"Bahnaric","aust1305","Austroasiatic"
14,"khm","cent1989",42,21,21,0,"Central Khmer","language","Eurasia",12.0515,105.015,"Khmer","aust1305","Austroasiatic"
15,"vie","viet1252",39,21,12,6,"Vietnamese","language","Eurasia",20.681188,105.774071,"Viet-Muong","aust1305","Austroasiatic"
16,"cmn","mand1415",43,27,12,4,"Mandarin Chinese","language","Eurasia",40.0209,116.228,"Chinese","sino1245","Sino-Tibetan"
16,"cmn","mand1415",43,27,12,4,"Mandarin Chinese","language","Eurasia",40.0209,116.228,"Chinese","sino1245","Sino-Tibetan"
17,"wuu","wuch1236",41,29,9,3,"Wu Chinese","language","Eurasia",29.8621,119.682,"Chinese","sino1245","Sino-Tibetan"
18,"hak","hakk1236",31,21,6,4,"Hakka Chinese","language","Eurasia",25,116,"Chinese","sino1245","Sino-Tibetan"
19,"yue","yuec1235",32,22,5,5,"Yue Chinese","language","Eurasia",23,113,"Chinese","sino1245","Sino-Tibetan"
20,"ium","iumi1238",49,35,8,6,"Iu Mien","language","Eurasia",20.83,101.17,"Hmong-Mien","hmon1336","Hmong-Mien"
21,"njz","nyis1236",27,16,9,2,"Nyishi-Hill Miri","language","Eurasia",27.278263,93.675529,"Tani","sino1245","Sino-Tibetan"
22,"mya","nucl1310",50,34,13,3,"Burmese","language","Eurasia",20.7926,93.9665,"Burmese-Lolo","sino1245","Sino-Tibetan"
23,"lhu","lahu1253",40,26,9,5,"Lahu","language","Eurasia",21.2701,100.214,"Burmese-Lolo","sino1245","Sino-Tibetan"
24,"grt","garo1247",26,21,5,0,"Garo","language","Eurasia",25.2954,90.462,"Bodo-Garo","sino1245","Sino-Tibetan"
25,"ksw","sgaw1245",39,27,9,3,"S'gaw Karen","language","Eurasia",17.9872,97.7126,"Karen","sino1245","Sino-Tibetan"
26,"lbc","lakk1238",59,31,22,6,"Lakkia","language","Eurasia",24.1169,110.106,"Kadai","taik1256","Tai-Kadai"
27,"tha","thai1261",45,21,18,6,"Thai","language","Eurasia",14.192,100.671,"Kam-Tai","taik1256","Tai-Kadai"
28,"pcc","bouy1240",38,24,8,6,"Bouyei","language","Eurasia",24.8484,106.187,"Kam-Tai","taik1256","Tai-Kadai"
29,"cja","west2650",35,24,9,2,"Western Cham","language","Eurasia",12.4771,104.026,"Malayo-Sumbawan","aust1307","Austronesian"
30,"tay","atay1247",27,19,8,0,"Atayal","language","Papunesia",24.5209,121.388,"Atayalic","aust1307","Austronesian"
31,"plt","plat1254",36,31,5,0,"Plateau Malagasy","language","Africa",-19.5907,47.1211,"Barito","aust1307","Austronesian"
32,"zsm","stan1306",27,21,6,0,"Standard Malay","language","Eurasia",3.08896,101.699,"Malayo-Sumbawan","aust1307","Austronesian"
33,"bbc","bata1289",21,16,5,0,"Batak Toba","language","Papunesia",2.35498,99.1761,"Northwest Sumatra-Barrier Islands","aust1307","Austronesian"
34,"snv","saba1265",46,38,8,0,"Sa'ban","language","Papunesia",3.58723,115.664,"North Borneo","aust1307","Austronesian"
35,"sun","sund1252",26,19,7,0,"Sundanese","language","Papunesia",-6.89708,107.106,"Malayo-Sumbawan","aust1307","Austronesian"
36,"jav","java1254",30,22,8,0,"Javanese","language","Papunesia",-7.001,109.287,"Javanese","aust1307","Austronesian"
37,"tgl","taga1270",28,18,10,0,"Tagalog","language","Papunesia",14.06,121.747,"Greater Central Philippine","aust1307","Austronesian"
38,"cha","cham1312",36,30,6,0,"Chamorro","language","Papunesia",13.438011,144.74474,"Chamorro","aust1307","Austronesian"
39,"iai","iaai1238",52,33,19,0,"Iaai","language","Papunesia",-20.6301,166.59,"Oceanic","aust1307","Austronesian"
40,"khl","kali1299",28,18,10,0,"Kaliai","dialect","Papunesia",NA,NA,"Oceanic","aust1307","Austronesian"
41,"adz","adze1240",25,18,7,0,"Adzera","language","Papunesia",-6.39394,146.294,"Oceanic","aust1307","Austronesian"
42,"mri","maor1246",20,10,10,0,"Maori","language","Papunesia",-38.2881,176.541,"Oceanic","aust1307","Austronesian"
43,"haw","hawa1245",19,9,10,0,"Hawaiian","language","Papunesia",19.6297,-155.43,"Oceanic","aust1307","Austronesian"
44,"ant","anta1253",23,17,6,0,"Antakarinya","language","Australia",-27.1152,134.838,NA,"pama1250","Pama-Nyungan"
45,"nna","nyan1301",27,20,7,0,"Nyangumarta","language","Australia",-20.6271,121.391,"Western Pama-Nyungan","pama1250","Pama-Nyungan"
46,"kjn","kunj1245",28,23,5,0,"Kunjen","language","Australia",-16.6807,143.53,"Northern Pama-Nyungan","pama1250","Pama-Nyungan"
47,"zmr","mara1386",24,19,5,0,"Maranunggu","language","Australia",-13.6754,130.12,"Wagaydy","west2434","Western Daly"
48,"mph","maun1240",24,19,5,0,"Mawng","language","Australia",-11.66,133.376,"Iwaidjan","iwai1246","Iwaidjan Proper"
49,"nuy","nung1290",24,19,5,0,"Wubuy","language","Australia",-14.2623,135.753,"Nunggubuyu","gunw1250","Gunwinyguan"
50,"alh","alaw1244",28,23,5,0,"Alawa","language","Australia",-15.5458,134.282,"Alawa","mang1423","Mangarrayi-Maran"
51,"wim","wikm1247",23,13,10,0,"Wik-Mungkan","language","Australia",-13.98051,141.81611,"Northern Pama-Nyungan","pama1250","Pama-Nyungan"
52,"set","nucl1632",17,10,7,0,"Sentani","language","Papunesia",-2.6013,140.512,"","sent1261","Sentanic"
53,"kmo","kwom1262",31,24,7,0,"Kwoma","language","Papunesia",-4.08721,142.664,"Nukuma","sepi1257","Sepik"
54,"tml","tamn1235",19,14,5,0,"Tamnim Citak","language","Papunesia",-5.57962,139.233,"Asmat-Kamoro","nucl1709","Nuclear Trans New Guinea"
55,"tlf","tele1256",27,17,8,2,"Telefol","language","Papunesia",-5.07444,141.731,"Ok","nucl1709","Nuclear Trans New Guinea"
56,"gaj","gads1258",19,9,6,4,"Gadsup","language","Papunesia",-6.31631,145.997,"Eastern Highlands","nucl1709","Nuclear Trans New Guinea"
57,"auy","awiy1238",20,11,6,3,"Awiyaana","language","Papunesia",-6.54079,145.76,"Eastern Highlands","nucl1709","Nuclear Trans New Guinea"
58,"kup","kuni1267",20,15,5,0,"Kunimaipa","language","Papunesia",-8.09371,146.908,"Goilalan","goil1242","Goilalan"
59,"spl","sele1250",21,15,6,0,"Selepet","language","Papunesia",-6.03532,147.234,"Finisterre-Huon","nucl1709","Nuclear Trans New Guinea"
60,"nas","naas1242",18,8,10,0,"Naasioi","language","Papunesia",-6.46022,155.632,"East Bougainville","sout2948","South Bougainville"
61,"ale","aleu1260",36,30,6,0,"Aleut","language","North America",52.1228,-174.29,"Aleut","eski1264","Eskimo-Aleut"
61,"ale","aleu1260",36,30,6,0,"Aleut","language","North America",52.1228,-174.29,"Aleut","eski1264","Eskimo-Aleut"
62,"kal","kala1399",38,32,6,0,"Kalaallisut","language","North America",69.3761,-52.864,"Eskimo","eski1264","Eskimo-Aleut"
62,"kal","kala1399",38,32,6,0,"Kalaallisut","language","North America",69.3761,-52.864,"Eskimo","eski1264","Eskimo-Aleut"
62,"kal","kala1399",38,32,6,0,"Kalaallisut","language","North America",69.3761,-52.864,"Eskimo","eski1264","Eskimo-Aleut"
63,"chp","chip1261",61,39,18,4,"Chipewyan","language","North America",58.98,-104.44,"Athapaskan","atha1245","Athabaskan-Eyak-Tlingit"
64,"tol","tolo1259",44,29,15,0,"Tolowa-Chetco","language","North America",41.9192,-124.1,NA,"atha1245","Athabaskan-Eyak-Tlingit"
65,"hup","hupa1239",42,35,7,0,"Hupa-Chilula","language","North America",41.0982,-123.68,"Athapaskan","atha1245","Athabaskan-Eyak-Tlingit"
66,"nav","nava1243",54,36,16,2,"Navajo","language","North America",36.2106,-110.082,"Athapaskan","atha1245","Athabaskan-Eyak-Tlingit"
67,"hdn","nort2938",50,47,3,0,"Northern Haida","language","North America",54.004532,-132.079257,"Haida","haid1248","Haida"
68,"squ","squa1248",37,30,7,0,"Squamish","language","North America",49.3231,-123.014,"Central Salish","sali1255","Salishan"
69,"str","stra1244",43,36,7,0,"Northern Straits Salish","language","North America",48.51614,-123.757114,"Central Salish","sali1255","Salishan"
69,"str","stra1244",43,36,7,0,"Northern Straits Salish","language","North America",48.51614,-123.757114,"Central Salish","sali1255","Salishan"
69,"str","stra1244",43,36,7,0,"Northern Straits Salish","language","North America",48.51614,-123.757114,"Central Salish","sali1255","Salishan"
69,"str","stra1244",43,36,7,0,"Northern Straits Salish","language","North America",48.51614,-123.757114,"Central Salish","sali1255","Salishan"
69,"str","stra1244",43,36,7,0,"Northern Straits Salish","language","North America",48.51614,-123.757114,"Central Salish","sali1255","Salishan"
69,"str","stra1244",43,36,7,0,"Northern Straits Salish","language","North America",48.51614,-123.757114,"Central Salish","sali1255","Salishan"
70,"nuk","nuuc1236",47,37,10,0,"Nuu-chah-nulth","language","North America",49.67,-126.67,"Southern Wakashan","waka1280","Wakashan"
71,"kwk","kwak1269",55,46,9,0,"Kwak'wala","language","North America",50.9269,-127.308,"Northern Wakashan","waka1280","Wakashan"
72,"ojg","east2542",27,16,11,0,"Eastern Ojibwa","language","North America",45.0112,-79.7503,NA,"algi1248","Algic"
73,"unm","unam1242",39,22,17,0,"Unami","language","North America",35.0264,-98.3201,"Algonquian","algi1248","Algic"
74,"wic","wich1260",29,21,8,0,"Wichita","language","North America",35.0665,-98.1831,"Caddoan","cadd1255","Caddoan"
75,"lkt","lako1247",36,27,9,0,"Lakota","language","North America",46.3699,-103.95,"Core Siouan","siou1252","Siouan"
76,"see","sene1264",27,11,16,0,"Seneca","language","North America",42.56,-77.53,"Northern Iroquoian","iroq1247","Iroquoian"
77,"one","onei1249",22,10,12,0,"Oneida","language","North America",43.438742,-75.708106,"Northern Iroquoian","iroq1247","Iroquoian"
78,"yuc","yuch1247",64,38,26,0,"Yuchi","language","North America",35.75,-86.75,"","yuch1247","Yuchi"
79,"akz","alab1237",21,15,6,0,"Alabama","language","North America",30.76738,-94.62848,"Muskogean","musk1252","Muskogean"
80,"tun","tuni1252",25,18,7,0,"Tunica","language","North America",30.9888,-92.5403,"","tuni1252","Tunica"
81,"nez","nezp1238",36,26,10,0,"Nez Perce","language","North America",46.3073,-116.408,"Sahaptian","saha1239","Sahaptian"
82,"nmu","nort2952",24,18,6,0,"Northeast Maidu","language","North America",40.4102,-120.645,"Maiduan","maid1262","Maiduan"
83,"zoc","copa1236",32,26,6,0,"Copainalá Zoque","language","North America",17.2157,-93.3183,"Mixe-Zoque","mixe1284","Mixe-Zoque"
83,"zoc","copa1236",32,26,6,0,"Copainalá Zoque","language","North America",17.2157,-93.3183,"Mixe-Zoque","mixe1284","Mixe-Zoque"
84,"top","papa1238",26,20,6,0,"Papantla Totonac","language","North America",20.5671,-97.2554,"Totonacan","toto1251","Totonacan"
85,"chf","taba1266",37,25,12,0,"Tabasco Chontal","language","North America",18.1713,-92.7367,"Mayan","maya1287","Mayan"
86,"tzh","tzel1254",30,25,5,0,"Tzeltal","language","North America",16.6384,-92.2786,"Mayan","maya1287","Mayan"
86,"tzh","tzel1254",30,25,5,0,"Tzeltal","language","North America",16.6384,-92.2786,"Mayan","maya1287","Mayan"
86,"tzh","tzel1254",30,25,5,0,"Tzeltal","language","North America",16.6384,-92.2786,"Mayan","maya1287","Mayan"
87,"tsz","pure1242",32,26,6,0,"Purepecha","language","North America",19.2467,-101.631,"Tarascan","tara1323","Tarascan"
88,"kyh","karo1304",41,27,11,3,"Karok","language","North America",41.8228,-123.315,"","karo1304","Karok"
89,"pom","sout2982",38,27,11,0,"Southeastern Pomo","language","North America",38.9354,-122.599,"Pomoan","pomo1273","Pomoan"
90,"dih","kumi1248",34,25,9,0,"Tipai","language","North America",32.331,-116.604,"Yuman","coch1271","Cochimi-Yuman"
90,"dih","kumi1248",34,25,9,0,"Tipai","language","North America",32.331,-116.604,"Yuman","coch1271","Cochimi-Yuman"
91,"zun","zuni1245",54,44,10,0,"Zuni","language","North America",35.0056,-108.782,"","zuni1245","Zuni"
92,"tix","sout2961",41,26,12,3,"Southern Tiwa","language","North America",34.7873,-106.661,"Kiowa-Tanoan","kiow1265","Kiowa-Tanoan"
93,"tew","tewa1260",57,34,19,4,"Rio Grande Tewa","language","North America",35.9053,-106.124,"Kiowa-Tanoan","kiow1265","Kiowa-Tanoan"
93,"tew","tewa1260",57,34,19,4,"Rio Grande Tewa","language","North America",35.9053,-106.124,"Kiowa-Tanoan","kiow1265","Kiowa-Tanoan"
93,"tew","tewa1260",57,34,19,4,"Rio Grande Tewa","language","North America",35.9053,-106.124,"Kiowa-Tanoan","kiow1265","Kiowa-Tanoan"
94,"lui","luis1253",34,23,11,0,"Luiseno-Juaneño","language","North America",33.3184,-116.939,"California Uto-Aztecan","utoa1244","Uto-Aztecan"
95,"hop","hopi1249",49,31,18,0,"Hopi","language","North America",35.7653,-110.535,"Hopi","utoa1244","Uto-Aztecan"
96,"ood","toho1245",29,19,10,0,"Tohono O'odham","language","North America",31.7973,-111.995,"Tepiman","utoa1244","Uto-Aztecan"
96,"ood","toho1245",29,19,10,0,"Tohono O'odham","language","North America",31.7973,-111.995,"Tepiman","utoa1244","Uto-Aztecan"
97,"ote","mezq1235",58,42,13,3,"Mezquital Otomi","language","North America",20.2274,-99.5564,"Otomian","otom1299","Otomanguean"
98,"maz","cent2144",63,45,15,3,"Central Mazahua","language","North America",19.7357,-100.018,NA,"otom1299","Otomanguean"
99,"maq","chiq1250",38,26,8,4,"Chiquihuitlán Mazatec","language","North America",18.0541,-96.6659,"Popolocan","otom1299","Otomanguean"
100,"mig","sanm1295",32,19,10,3,"San Miguel El Grande Mixtec","language","North America",17.046881,-97.622482,"Mixtecan","otom1299","Otomanguean"
100,"mig","sanm1295",32,19,10,3,"San Miguel El Grande Mixtec","language","North America",17.046881,-97.622482,"Mixtecan","otom1299","Otomanguean"
100,"mig","sanm1295",32,19,10,3,"San Miguel El Grande Mixtec","language","North America",17.046881,-97.622482,"Mixtecan","otom1299","Otomanguean"
101,"cbi","chac1249",28,24,4,0,"Cha'palaa","language","South America",0.71489,-79.0508,"Barbacoan","barb1265","Barbacoan"
102,"pbb","paez1247",39,29,10,0,"Páez","language","South America",2.61516,-76.31254,"Páezan","paez1247","Páez"
103,"ito","iton1250",25,19,6,0,"Itonama","language","South America",-12.80431,-64.35748,"","iton1250","Itonama"
104,"quh","sout2991",37,32,5,0,"South Bolivian Quechua","language","South America",-20.9201,-66.3331,"Quechuan","quec1387","Quechuan"
105,"jqr","jaqa1244",42,36,6,0,"Jaqaru","language","South America",-12.741939,-75.809231,"Aymaran","ayma1253","Aymaran"
106,"arn","mapu1245",26,20,6,0,"Mapudungun","language","South America",-38.7392,-71.277,"Araucanian","arau1255","Araucanian"
107,"crb","isla1278",29,17,12,0,"Island Carib","language","North America",15.364795,-61.342957,NA,"araw1281","Arawakan"
108,"wap","wapi1253",29,17,12,0,"Wapishana","language","South America",2.58744,-59.8021,"Wapishanan","araw1281","Arawakan"
109,"guc","wayu1243",46,28,18,0,"Wayuu","language","South America",11.395566,-72.199791,"Caribbean Arawakan","araw1281","Arawakan"
110,"cni","asha1243",21,17,4,0,"Asháninka","language","South America",-11.9311,-73.9073,NA,"araw1281","Arawakan"
111,"ign","igna1246",25,21,4,0,"Ignaciano","language","South America",-15.1188,-65.3993,"Bolivia-Parana","araw1281","Arawakan"
112,"ame","yane1238",29,23,6,0,"Yanesha'","language","South America",-10.5454,-75.315,"Yanesha'","araw1281","Arawakan"
113,"jiv","shua1257",24,16,8,0,"Shuar","language","South America",-3.45136,-78.1892,"Jivaroan","jiva1245","Chicham"
114,"bao","waim1255",25,11,12,2,"Waimaha","language","South America",0.30416,-70.1644,"Tucanoan","tuca1253","Tucanoan"
115,"tca","ticu1245",38,18,11,9,"Ticuna","language","South America",-3.66289,-69.8723,"","ticu1244","Ticuna-Yuri"
116,"car","gali1262",28,16,12,0,"Galibi Carib","language","South America",5.83772,-56.8323,"Cariban","cari1283","Cariban"
117,"oca","ocai1244",38,27,9,2,"Ocaina","language","South America",-2.159,-72.1422,"Huitoto","huit1251","Huitotoan"
118,"srq","siri1273",28,18,10,0,"Sirionó","language","South America",-15.5298,-63.9688,"Tupi-Guaraní","tupi1275","Tupian"
119,"gug","para1311",36,24,12,0,"Paraguayan Guaraní","language","South America",-25.60551,-57.08816,"Tupi-Guaraní","tupi1275","Tupian"
120,"amc","amah1246",22,14,8,0,"Amahuaca","language","South America",-10.2012,-72.3208,"Panoan","pano1259","Pano-Tacanan"
121,"cao","chac1251",21,17,4,0,"Chácobo","language","South America",-12.133,-66.7164,"Panoan","pano1259","Pano-Tacanan"
122,"apn","apin1244",49,14,35,0,"Apinayé","language","South America",-6.10774,-47.6315,"Ge-Kaingang","nucl1710","Nuclear-Macro-Je"
123,"rif","tari1263",49,45,4,0,"Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber","language","Africa",34.916974,-3.430616,"Berber","afro1255","Afro-Asiatic"
124,"hau","haus1257",45,32,10,3,"Hausa","language","Africa",11.1513,8.7804,"West Chadic","afro1255","Afro-Asiatic"
125,"anc","ngas1240",44,30,11,3,"Ngas","language","Africa",9.32042,9.46146,"West Chadic","afro1255","Afro-Asiatic"
126,"mrt","marg1265",44,36,6,2,"Marghi Central","language","Africa",10.93854,13.0521,"Biu-Mandara","afro1255","Afro-Asiatic"
127,"som","soma1255",52,30,20,2,"Somali","language","Africa",4.778704,45.152856,"Lowland East Cushitic","afro1255","Afro-Asiatic"
128,"awn","awng1244",39,28,7,4,"Awngi","language","Africa",10.9819,36.6916,"Central Cushitic","afro1255","Afro-Asiatic"
129,"irk","iraq1241",48,33,12,3,"Iraqw","language","Africa",-4.19948,35.2939,"Southern Cushitic","afro1255","Afro-Asiatic"
130,"tig","tigr1270",54,47,7,0,"Tigre","language","Africa",17.3494,38.2233,"Semitic","afro1255","Afro-Asiatic"
130,"tig","tigr1270",54,47,7,0,"Tigre","language","Africa",17.3494,38.2233,"Semitic","afro1255","Afro-Asiatic"
131,"amh","amha1245",59,52,7,0,"Amharic","language","Africa",11.708182,39.543456,"Semitic","afro1255","Afro-Asiatic"
132,"arz","egyp1253",67,58,9,0,"Egyptian Arabic","language","Africa",31,31,"Semitic","afro1255","Afro-Asiatic"
133,"ary","moro1292",78,74,4,0,"Moroccan Arabic","language","Africa",32.5,-7.5,"Semitic","afro1255","Afro-Asiatic"
134,"mlt","malt1254",55,45,10,0,"Maltese","language","Eurasia",35.8884,14.4508,"Semitic","afro1255","Afro-Asiatic"
135,"heb","hebr1245",30,24,6,0,"Modern Hebrew","language","Eurasia",31.1056,35.0179,"Semitic","afro1255","Afro-Asiatic"
135,"heb","hebr1245",30,24,6,0,"Modern Hebrew","language","Eurasia",31.1056,35.0179,"Semitic","afro1255","Afro-Asiatic"
136,"xtc","katc1250",32,23,7,2,"Katcha","dialect","Africa",NA,NA,"Kadugli","kadu1256","Kadugli-Krongo"
136,"xtc","katc1250",32,23,7,2,"Katcha","dialect","Africa",NA,NA,"Kadugli","kadu1256","Kadugli-Krongo"
137,"xpe","libe1247",49,32,14,3,"Liberia Kpelle","language","Africa",6.92048,-9.96128,"Western Mande","mand1469","Mande"
138,"wol","nucl1347",40,26,14,0,"Wolof","language","Africa",15.2534,-15.383,"Wolof","atla1278","Atlantic-Congo"
139,"dag","dagb1246",37,24,11,2,"Dagbani","language","Africa",9.64745,-0.43227,"Northern-Central Gur","atla1278","Atlantic-Congo"
140,"aka","akan1250",40,22,15,3,"Akan","language","Africa",6.34756,-1.33254,"Kwa","atla1278","Atlantic-Congo"
141,"gaa","gaaa1244",47,32,12,3,"Ga","language","Africa",5.65488,-0.18598,"Kwa","atla1278","Atlantic-Congo"
142,"ewe","ewee1241",45,28,14,3,"Ewe","language","Africa",6.46061,0.814975,"Kwa","atla1278","Atlantic-Congo"
142,"ewe","ewee1241",45,28,14,3,"Ewe","language","Africa",6.46061,0.814975,"Kwa","atla1278","Atlantic-Congo"
143,"ibo","nucl1417",65,46,16,3,"Igbo","language","Africa",4.62705,7.23441,"Igboid","atla1278","Atlantic-Congo"
144,"beq","beem1239",41,19,20,2,"Beembe","language","Africa",-3.95895,14.1,"Bantoid","atla1278","Atlantic-Congo"
145,"swh","swah1253",36,31,5,0,"Swahili","language","Africa",-8.25605,37.624,"Bantoid","atla1278","Atlantic-Congo"
146,"lue","luva1239",36,22,10,4,"Luvale","language","Africa",-13.5382,22.2924,"Bantoid","atla1278","Atlantic-Congo"
147,"zul","zulu1248",43,35,5,3,"Zulu","language","Africa",-28.9,30.2,"Bantoid","atla1278","Atlantic-Congo"
147,"zul","zulu1248",43,35,5,3,"Zulu","language","Africa",-28.9,30.2,"Bantoid","atla1278","Atlantic-Congo"
147,"zul","zulu1248",43,35,5,3,"Zulu","language","Africa",-28.9,30.2,"Bantoid","atla1278","Atlantic-Congo"
148,"gbp","gbay1287",45,31,12,2,"Gbaya-Bossangoa","language","Africa",6.61896,17.645,"Gbaya-Manza-Ngbaka","atla1278","Atlantic-Congo"
149,"ses","koyr1242",48,33,15,0,"Koyraboro Senni Songhai","language","Africa",16.9634,-0.55187,"Songhay","song1307","Songhay"
150,"knc","cent2050",35,25,6,4,"Central Kanuri","language","Africa",11.8,13.13,"Western Saharan","saha1256","Saharan"
151,"lgg","lugb1240",42,26,13,3,"Lugbara","language","Africa",3.02245,30.8642,"Moru-Ma'di","cent2225","Central Sudanic"
152,"fia","nobi1240",45,33,10,2,"Nobiin","language","Africa",22.8142,31.8376,"Nubian","nubi1251","Nubian"
153,"luo","luok1236",35,23,9,3,"Luo (Kenya and Tanzania)","language","Africa",-0.93296,34.4896,"Nilotic","nilo1247","Nilotic"
154,"mas","masa1300",43,21,18,4,"Masai","language","Africa",-3.1419,36.4573,"Nilotic","nilo1247","Nilotic"
155,"naq","nama1265",33,19,8,6,"Nama","dialect","Africa",NA,NA,"Khoe-Kwadi","khoe1240","Khoe-Kwadi"
156,"gle","iris1253",68,44,24,0,"Irish","language","Eurasia",53.2186,-7.61509,"Celtic","indo1319","Indo-European"
156,"gle","iris1253",68,44,24,0,"Irish","language","Eurasia",53.2186,-7.61509,"Celtic","indo1319","Indo-European"
156,"gle","iris1253",68,44,24,0,"Irish","language","Eurasia",53.2186,-7.61509,"Celtic","indo1319","Indo-European"
157,"bre","bret1244",42,25,17,0,"Breton","language","Eurasia",48.2452,-3.78934,"Celtic","indo1319","Indo-European"
158,"isl","icel1247",39,23,16,0,"Icelandic","language","Eurasia",63.4837,-19.0212,"Germanic","indo1319","Indo-European"
159,"nob","norw1259",48,27,19,2,"Norwegian Bokmål","dialect","Eurasia",61.112,8.886,"Germanic","indo1319","Indo-European"
160,"eng","stan1293",40,27,13,0,"English","language","Eurasia",53,-1,"Germanic","indo1319","Indo-European"
161,"deu","stan1295",39,23,16,0,"German","language","Eurasia",48.649,12.4676,"Germanic","indo1319","Indo-European"
161,"deu","stan1295",39,23,16,0,"German","language","Eurasia",48.649,12.4676,"Germanic","indo1319","Indo-European"
161,"deu","stan1295",39,23,16,0,"German","language","Eurasia",48.649,12.4676,"Germanic","indo1319","Indo-European"
161,"deu","stan1295",39,23,16,0,"German","language","Eurasia",48.649,12.4676,"Germanic","indo1319","Indo-European"
