InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea
1,kore1280,kor,Korean,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,kore1284,kore1284,Korean,False,language,safe,37.5,128,kor,NA,NA,0,0,8,CN KP KR RU,kore1280,kor,Eurasia
2,kett1243,ket,Ket,NA,029D,ʝ,ʝ,NA,consonant,spa,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,yeni1252,nort2746,Ket,False,language,definitely endangered,63.7551,87.5466,ket,NA,NA,0,0,0,RU,kett1243,ket,Eurasia
3,lakk1252,lbe,Lak,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,nakh1245,dagh1238,Lak,False,language,vulnerable,42.1328,47.0809,lbe,NA,NA,0,0,4,AZ GE KZ RU UA,lakk1252,lbe,Eurasia
4,kaba1278,kbd,Kabardian,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,abkh1242,circ1239,Kabardian,False,language,vulnerable,43.5082,43.3918,kbd,NA,NA,0,0,1,RU TR,kaba1278,kbd,Eurasia
4,kaba1278,kbd,Kabardian,NA,00E7+031F,ç̟,ç̟,NA,consonant,spa,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,abkh1242,circ1239,Kabardian,False,language,vulnerable,43.5082,43.3918,kbd,NA,NA,0,0,1,RU TR,kaba1278,kbd,Eurasia
4,kaba1278,kbd,Kabardian,NA,029D+031F,ʝ̟,ʝ̟,NA,consonant,spa,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,abkh1242,circ1239,Kabardian,False,language,vulnerable,43.5082,43.3918,kbd,NA,NA,0,0,1,RU TR,kaba1278,kbd,Eurasia
5,nucl1302,kat,Georgian,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,kart1248,geor1253,Georgian,False,language,safe,41.850397,43.78613,kat,NA,NA,0,0,16,AM AZ GE IR RU TR,nucl1302,kat,Eurasia
6,buru1296,bsk,Burushaski,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,,,Burushaski,False,language,definitely endangered,36.2161,74.8236,bsk,NA,NA,0,0,3,IN PK,buru1296,bsk,Eurasia
7,kuru1302,kru,Kurukh,NA,006A,j,j̃ j e̯,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,drav1251,kuru1301,Kurukh,False,language,vulnerable,24.4644,86.4657,kru,NA,NA,0,0,2,BD BT IN,kuru1302,kru,Eurasia
7,kuru1302,kru,Kurukh,NA,006A+02D0,jː,jː j̃ː,NA,consonant,spa,0,-,-,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,drav1251,kuru1301,Kurukh,False,language,vulnerable,24.4644,86.4657,kru,NA,NA,0,0,2,BD BT IN,kuru1302,kru,Eurasia
8,telu1262,tel,Telugu,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,drav1251,telu1265,Telugu,False,language,safe,16.4529,78.7024,tel,NA,NA,0,0,17,IN,telu1262,tel,Eurasia
9,kota1263,kfe,Kota,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,drav1251,tami1292,Kota (India),False,language,definitely endangered,11.4978,76.9387,kfe,NA,NA,0,0,1,IN,kota1263,kfe,Eurasia
10,mund1320,unr,Mundari,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,aust1305,homu1234,Mundari,False,language,safe,25.0391,87.1792,unr,NA,NA,0,0,0,BD IN NP,NA,NA,NA
11,khar1287,khr,Kharia,NA,006A,j,ɛ̯ j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,aust1305,sout3137,Kharia,False,language,vulnerable,22.3571,84.3922,khr,NA,NA,0,0,3,IN NP,khar1287,khr,Eurasia
11,khar1287,khr,Kharia,NA,0272,ɲ,ɲ ɲ̩,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,aust1305,sout3137,Kharia,False,language,vulnerable,22.3571,84.3922,khr,NA,NA,0,0,3,IN NP,khar1287,khr,Eurasia
12,khas1269,kha,Khasi,NA,0272,ɲ,ɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,aust1305,khas1275,Khasi,False,language,vulnerable,24.977,91.9998,kha,NA,NA,0,0,4,BD IN,khas1269,kha,Eurasia
13,seda1262,sed,Sedang,NA,006A,j,j j̃ j̰̃ j̰,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,aust1305,hres1237,Sedang,False,language,safe,14.7793,108.027,sed,NA,NA,0,0,5,LA VN,seda1262,sed,Eurasia
13,seda1262,sed,Sedang,NA,0272,ɲ,ɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,aust1305,hres1237,Sedang,False,language,safe,14.7793,108.027,sed,NA,NA,0,0,5,LA VN,seda1262,sed,Eurasia
13,seda1262,sed,Sedang,NA,0272+0325,ɲ̥,ɲ̥,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,aust1305,hres1237,Sedang,False,language,safe,14.7793,108.027,sed,NA,NA,0,0,5,LA VN,seda1262,sed,Eurasia
13,seda1262,sed,Sedang,NA,02C0+0272,ˀɲ,ˀɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,"+,-",-,-,-,-,aust1305,hres1237,Sedang,False,language,safe,14.7793,108.027,sed,NA,NA,0,0,5,LA VN,seda1262,sed,Eurasia
14,cent1989,khm,Cambodian,NA,006A,j,ʝ j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,aust1305,khme1253,Central Khmer,False,language,safe,12.0515,105.015,khm,NA,NA,0,0,2,KH LA TH VN,cent1989,khm,Eurasia
14,cent1989,khm,Cambodian,NA,0272,ɲ,ɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,aust1305,khme1253,Central Khmer,False,language,safe,12.0515,105.015,khm,NA,NA,0,0,2,KH LA TH VN,cent1989,khm,Eurasia
15,viet1252,vie,Vietnamese,NA,0063,c,c c̚,NA,consonant,spa,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,aust1305,viet1251,Vietnamese,False,language,safe,20.681188,105.774071,vie,NA,NA,0,0,3,CN LA VN,viet1252,vie,Eurasia
15,viet1252,vie,Vietnamese,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,aust1305,viet1251,Vietnamese,False,language,safe,20.681188,105.774071,vie,NA,NA,0,0,3,CN LA VN,viet1252,vie,Eurasia
15,viet1252,vie,Vietnamese,NA,0272,ɲ,ɲ,NA,consonant,spa,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,aust1305,viet1251,Vietnamese,False,language,safe,20.681188,105.774071,vie,NA,NA,0,0,3,CN LA VN,viet1252,vie,Eurasia
16,mand1415,cmn,Mandarin Chinese,NA,0063+00E7,cç,cç ɟʝ,NA,consonant,spa,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,sino1245,mand1471,Mandarin Chinese,False,language,safe,40.0209,116.228,cmn,NA,NA,0,0,31,CN KP LA MM MN RU TW VN,mand1415,cmn,Eurasia
16,mand1415,cmn,Mandarin Chinese,NA,0063+00E7+02B0,cçʰ,cçʰ cçʰ,NA,consonant,spa,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-,sino1245,mand1471,Mandarin Chinese,False,language,safe,40.0209,116.228,cmn,NA,NA,0,0,31,CN KP LA MM MN RU TW VN,mand1415,cmn,Eurasia
16,mand1415,cmn,Mandarin Chinese,NA,006A,j,j ʝ,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,mand1471,Mandarin Chinese,False,language,safe,40.0209,116.228,cmn,NA,NA,0,0,31,CN KP LA MM MN RU TW VN,mand1415,cmn,Eurasia
16,mand1415,cmn,Mandarin Chinese,NA,00E7,ç,ç,NA,consonant,spa,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,sino1245,mand1471,Mandarin Chinese,False,language,safe,40.0209,116.228,cmn,NA,NA,0,0,31,CN KP LA MM MN RU TW VN,mand1415,cmn,Eurasia
17,wuch1236,wuu,Wu,NA,006A,j,j,NA,consonant,spa,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,sino1245,wuhu1234,Wu Chinese,False,language,safe,29.8621,119.682,wuu,NA,NA,0,0,29,CN,wuch1236,wuu,Eurasia
