"ID","Contributor_ID","Name","Contributors","References","URI"
1,"spa","Korean","Stanford Phonology Archive","cho1967;martin1951;martin1954;martinlee1969;kim1968;kim1972","https://archive.org/details/kor_SPA1979_phon"
2,"spa","Ket","Stanford Phonology Archive","dulzon1968;krejnovich1968","https://archive.org/details/ket_SPA1979_phon"
3,"spa","Lak","Stanford Phonology Archive","murkelinskij1967;zhirkov1955;khajdakov1966","https://archive.org/details/lbe_SPA1979_phon"
4,"spa","Kabardian","Stanford Phonology Archive","kuipers1960","https://archive.org/details/kbd_SPA1979_phon"
5,"spa","Georgian","Stanford Phonology Archive","robinswaterson1952;selmer1935;tschenkeli1958;vogt1938;vogt1939;vogt1958;vogt1971","https://archive.org/details/kat_SPA1979_phon"
6,"spa","Burushaski","Stanford Phonology Archive","morgenstierne1945","https://archive.org/details/bsk_SPA1979_phon"
7,"spa","Kurukh","Stanford Phonology Archive","pinnow1964;pfeiffer1972;grignard1924","https://archive.org/details/kru_SPA1979_phon"
8,"spa","Telugu","Stanford Phonology Archive","lisker1963;krishnamurti1961;kelley1963","https://archive.org/details/tel_SPA1979_phon"
9,"spa","Kota","Stanford Phonology Archive","emeneau1944","https://archive.org/details/kfe_SPA1979_phon"
10,"spa","Mundari","Stanford Phonology Archive","gumperzbilibiri1957","https://archive.org/details/unr_SPA1979_phon"
11,"spa","Kharia","Stanford Phonology Archive","biligiri1965;pinnow1959","https://archive.org/details/khr_SPA1979_phon"
12,"spa","Khasi","Stanford Phonology Archive","rabel1961","https://archive.org/details/kha_SPA1979_phon"
13,"spa","Sedang","Stanford Phonology Archive","smith1968","https://archive.org/details/sed_SPA1979_phon"
14,"spa","Cambodian","Stanford Phonology Archive","huffman1970a;jacob1968;huffman1970b","https://archive.org/details/khm_SPA1979_phon"
15,"spa","Vietnamese","Stanford Phonology Archive","thompson1965","https://archive.org/details/vie_SPA1979_phon"
16,"spa","Mandarin Chinese","Stanford Phonology Archive","dow1972;chao1968;cheng1973b;karlgren1926","https://archive.org/details/cmn_SPA1979_phon"
17,"spa","Wu","Stanford Phonology Archive","chao1970","https://archive.org/details/wuu_SPA1979_phon"
18,"spa","Hakka","Stanford Phonology Archive","hashimoto1973","https://archive.org/details/hak_SPA1979_phon"
19,"spa","Cantonese","Stanford Phonology Archive","cheng1973a","https://archive.org/details/yue_SPA1979_phon"
20,"spa","Yao","Stanford Phonology Archive","purnell1965","https://archive.org/details/ium_SPA1979_phon"
21,"spa","Dafla","Stanford Phonology Archive","ray1967","https://archive.org/details/dap_SPA1979_phon"
22,"spa","Burmese","Stanford Phonology Archive","okell1969","https://archive.org/details/mya_SPA1979_phon"
23,"spa","Lahu","Stanford Phonology Archive","matisoff1973","https://archive.org/details/lhu_SPA1979_phon"
24,"spa","Garo","Stanford Phonology Archive","burling1961","https://archive.org/details/grt_SPA1979_phon"
25,"spa","Karen","Stanford Phonology Archive","jones1961","https://archive.org/details/ksw_SPA1979_phon"
26,"spa","Lakkia","Stanford Phonology Archive","haudricourt1967","https://archive.org/details/lbc_SPA1979_phon"
27,"spa","Thai","Stanford Phonology Archive","abramson1962;kruatrachue1960;noss1954;noss1964","https://archive.org/details/tha_SPA1979_phon"
28,"spa","Yay","Stanford Phonology Archive","gedney1965","https://archive.org/details/pcc_SPA1979_phon"
29,"spa","Cham","Stanford Phonology Archive","blood1967","https://archive.org/details/cja_SPA1979_phon"
30,"spa","Atayal","Stanford Phonology Archive","egerod1966","https://archive.org/details/tay_SPA1979_phon"
31,"spa","Malagasy","Stanford Phonology Archive","dahl1952;dyen1971","https://archive.org/details/plt_SPA1979_phon"
32,"spa","Malay","Stanford Phonology Archive","verguin1967;macdonaldsoenyono1967","https://archive.org/details/zsm_SPA1979_phon"
33,"spa","Batak","Stanford Phonology Archive","vandertuuk1971","https://archive.org/details/btx_SPA1979_phon"
34,"spa","Sa'ban","Stanford Phonology Archive","clayre1973","https://archive.org/details/snv_SPA1979_phon"
35,"spa","Sundanese","Stanford Phonology Archive","vansyoc1959;anderson1972;robins1953;robins1957","https://archive.org/details/sun_SPA1979_phon"
36,"spa","Javanese","Stanford Phonology Archive","uhlenbeck1949;uhlenbeck1963","https://archive.org/details/jav_SPA1979_phon"
37,"spa","Tagalog","Stanford Phonology Archive","schachterotanes1972;bloomfield1917","https://archive.org/details/tgl_SPA1979_phon"
38,"spa","Chamorro","Stanford Phonology Archive","topping1973","https://archive.org/details/cha_SPA1979_phon"
39,"spa","Iai","Stanford Phonology Archive","tryon1968;haudricourt1971","https://archive.org/details/iai_SPA1979_phon"
40,"spa","Kaliai","Stanford Phonology Archive","counts1969","https://archive.org/details/khl_SPA1979_phon"
41,"spa","Adzera","Stanford Phonology Archive","holzknecht1973","https://archive.org/details/azr_SPA1979_phon"
42,"spa","Maori","Stanford Phonology Archive","hohepa1967;williamswilliams1965;biggs1961","https://archive.org/details/mri_SPA1979_phon"
43,"spa","Hawaiian","Stanford Phonology Archive","pukuielbert1965","https://archive.org/details/haw_SPA1979_phon"
44,"spa","Western Desert","Stanford Phonology Archive","douglas1955;douglas1964","https://archive.org/details/ant_SPA1979_phon"
45,"spa","Nyangumata","Stanford Phonology Archive","ogrady1964","https://archive.org/details/nna_SPA1979_phon"
46,"spa","Kunjen","Stanford Phonology Archive","sommer1969;capell1967","https://archive.org/details/kjn_SPA1979_phon"
47,"spa","Maranungku","Stanford Phonology Archive","tryon1970","https://archive.org/details/zmr_SPA1979_phon"
48,"spa","Maung","Stanford Phonology Archive","capellhinch1970","https://archive.org/details/mph_SPA1979_phon"
49,"spa","Nunggubuyu","Stanford Phonology Archive","hughesleeding1971","https://archive.org/details/nuy_SPA1979_phon"
50,"spa","Alawa","Stanford Phonology Archive","sharpe1972","https://archive.org/details/alh_SPA1979_phon"
51,"spa","Wik-Munkan","Stanford Phonology Archive","sayersgodfrey1964","https://archive.org/details/wim_SPA1979_phon"
52,"spa","Sentani","Stanford Phonology Archive","cowan1965","https://archive.org/details/set_SPA1979_phon"
53,"spa","Washkuk","Stanford Phonology Archive","kooyers_etal1971","https://archive.org/details/kmo_SPA1979_phon"
54,"spa","Asmat","Stanford Phonology Archive","voorhoeve1965","https://archive.org/details/tml_SPA1979_phon"
55,"spa","Telefol","Stanford Phonology Archive","healey1964","https://archive.org/details/tlf_SPA1979_phon"
56,"spa","Gadsup","Stanford Phonology Archive","frantzfrantz1966","https://archive.org/details/gaj_SPA1979"
57,"spa","Auyana","Stanford Phonology Archive","bees1965","https://archive.org/details/auy_SPA1979_phon"
58,"spa","Kunimaipa","Stanford Phonology Archive","pence1966","https://archive.org/details/kup_SPA1979_phon"
59,"spa","Selepet","Stanford Phonology Archive","mcelhanon1970a","https://archive.org/details/spl_SPA1979_phon"
60,"spa","Nasioi","Stanford Phonology Archive","hurdhurd1966","https://archive.org/details/nas_SPA1979_phon"
61,"spa","Aleut","Stanford Phonology Archive","bergsland1956;bergsland1959;menovshchikov1968;jakobson1944","https://archive.org/details/ale_SPA1979_phon"
62,"spa","Inuit","Stanford Phonology Archive","thalbitzer1904;rischel1974;kleinschmidt1851","https://archive.org/details/kal_SPA1979_phon"
63,"spa","Chipewyan","Stanford Phonology Archive","li1946;li1932;li1933","https://archive.org/details/chp_SPA1979_phon"
64,"spa","Chasta Costa","Stanford Phonology Archive","bright1964","https://archive.org/details/tol_SPA1979_phon"
65,"spa","Hupa","Stanford Phonology Archive","golla1970;woodward1964","https://archive.org/details/hup_SPA1979_phon"
66,"spa","Navaho","Stanford Phonology Archive","sapirhoijer1967","https://archive.org/details/nav_SPA1979_phon"
67,"spa","Haida","Stanford Phonology Archive","sapir1923","https://archive.org/details/hdn_SPA1979_phon"
68,"spa","Squamish","Stanford Phonology Archive","kuipers1967","https://archive.org/details/squ_SPA1979_phon"
69,"spa","Salish","Stanford Phonology Archive","snyder1968","https://archive.org/details/str_SPA1979_phon"
70,"spa","Nootka","Stanford Phonology Archive","sapirmorris1939;sapirmorris1955;jacobsen1969","https://archive.org/details/noo_SPA1979_phon"
71,"spa","Kwakiutl","Stanford Phonology Archive","boas1947;newman1950","https://archive.org/details/kwk_SPA1979_phon"
72,"spa","Ojibwa","Stanford Phonology Archive","bloomfield1957","https://archive.org/details/ojg_SPA1979_phon"
73,"spa","Delaware","Stanford Phonology Archive","voegelin1946","https://archive.org/details/unm_SPA1979_phon"
74,"spa","Wichita","Stanford Phonology Archive","garvin1950","https://archive.org/details/wic_SPA1979_phon"
75,"spa","Dakota","Stanford Phonology Archive","boasdeloria1941","https://archive.org/details/lkt_SPA1979_phon"
76,"spa","Seneca","Stanford Phonology Archive","chafe1967","https://archive.org/details/see_SPA1979_phon"
77,"spa","Oneida","Stanford Phonology Archive","lounsbury1953","https://archive.org/details/one_SPA1979_phon"
78,"spa","Yuchi","Stanford Phonology Archive","crawford1973;ballard1975","https://archive.org/details/yuc_SPA1979_phon"
79,"spa","Alabama","Stanford Phonology Archive","rand1968","https://archive.org/details/akz_SPA1979_phon"
80,"spa","Tunica","Stanford Phonology Archive","haas1941","https://archive.org/details/tun_SPA1979_phon"
81,"spa","Nez Perce","Stanford Phonology Archive","aoki1970;aoki1970a;aoki1966","https://archive.org/details/nez_SPA1979_phon"
82,"spa","Maidu","Stanford Phonology Archive","shipley1956;shipley1964","https://archive.org/details/nmu_SPA1979_phon"
83,"spa","Zoque","Stanford Phonology Archive","wonderly1951","https://archive.org/details/zoc_SPA1979_phon"
84,"spa","Totonac","Stanford Phonology Archive","aschmann1946","https://archive.org/details/top_SPA1979_phon"
85,"spa","Chontal","Stanford Phonology Archive","keller1959","https://archive.org/details/chf_SPA1979_phon"
86,"spa","Tzeltal","Stanford Phonology Archive","kaufman1971","https://archive.org/details/tzh_SPA1979_phon"
87,"spa","Tarascan","Stanford Phonology Archive","foster1969","https://archive.org/details/tsz_SPA1979_phon"
88,"spa","Karok","Stanford Phonology Archive","bright1957","https://archive.org/details/kyh_SPA1979_phon"
89,"spa","Pomo","Stanford Phonology Archive","moshinsky1974","https://archive.org/details/pom_SPA1979_phon"
90,"spa","Digueno","Stanford Phonology Archive","langdon1970","https://archive.org/details/dih_SPA1979_phon"
91,"spa","Zuni","Stanford Phonology Archive","newman1965","https://archive.org/details/zun_SPA1979_phon"
92,"spa","Tiwa","Stanford Phonology Archive","trager1971","https://archive.org/details/tix_SPA1979_phon"
93,"spa","Tewa","Stanford Phonology Archive","hoijerdozier1949","https://archive.org/details/tew_SPA1979_phon"
94,"spa","Luiseno","Stanford Phonology Archive","malecot1963;kroebergrace1960;bright1965;bright1968","https://archive.org/details/lui_SPA1979_phon"
95,"spa","Hopi","Stanford Phonology Archive","whorf1946;voegelin1956","https://archive.org/details/hop_SPA1979_phon"
96,"spa","Pima","Stanford Phonology Archive","hale1959;saxton1963","https://archive.org/details/ood_SPA1979_phon"
97,"spa","Otomi","Stanford Phonology Archive","blighteunice1976","https://archive.org/details/ote_SPA1979_phon"
98,"spa","Mazahua","Stanford Phonology Archive","spotts1953;pike1951","https://archive.org/details/maz_SPA1979_phon"
99,"spa","Mazateco","Stanford Phonology Archive","pikepike1947","https://archive.org/details/maq_SPA1979_phon"
100,"spa","Mixtec","Stanford Phonology Archive","hunterpike1969","https://archive.org/details/mig_SPA1979_phon"
101,"spa","Cayapa","Stanford Phonology Archive","lindskoogbrend1962","https://archive.org/details/cbi_SPA1979_phon"
102,"spa","Paez","Stanford Phonology Archive","gerdel1973","https://archive.org/details/pbb_SPA1979_phon"
103,"spa","Itonama","Stanford Phonology Archive","liccardigrimes1968","https://archive.org/details/ito_SPA1979_phon"
104,"spa","Quechua","Stanford Phonology Archive","bills_etal1969;lastra1968;lastra1968;parker1969","https://archive.org/details/quh_SPA1979_phon"
105,"spa","Aymara","Stanford Phonology Archive","hardman1966","https://archive.org/details/ayr_SPA1979_phon"
106,"spa","Araucanian","Stanford Phonology Archive","echeverriacontreras1965","https://archive.org/details/arn_SPA1979_phon"
107,"spa","Island Carib","Stanford Phonology Archive","taylor1955","https://archive.org/details/crb_SPA1979_phon"
108,"spa","Wapishana","Stanford Phonology Archive","tracy1972","https://archive.org/details/wap_SPA1979_phon"
109,"spa","Goajiro","Stanford Phonology Archive","holmer1949","https://archive.org/details/guc_SPA1979_phon"
110,"spa","Campa","Stanford Phonology Archive","dirks1953","https://archive.org/details/cni_SPA1979_phon"
111,"spa","Moxo","Stanford Phonology Archive","ottott1967","https://archive.org/details/ign_SPA1979_phon"
112,"spa","Amuesha","Stanford Phonology Archive","fast1953","https://archive.org/details/ame_SPA1979_phon"
113,"spa","Jivaro","Stanford Phonology Archive","beasleypike1957","https://archive.org/details/jiv_SPA1979_phon"
114,"spa","Barasano","Stanford Phonology Archive","stoltestolte1971","https://archive.org/details/bao_SPA1979_phon"
115,"spa","Ticuna","Stanford Phonology Archive","anderson1959;anderson1962","https://archive.org/details/tca_SPA1979_phon"
116,"spa","Carib","Stanford Phonology Archive","peasgood1972;hoff1968","https://archive.org/details/car_SPA1979_phon"
117,"spa","Ocaina","Stanford Phonology Archive","agnewpike1957","https://archive.org/details/oca_SPA1979_phon"
118,"spa","Siriono","Stanford Phonology Archive","priest1968","https://archive.org/details/srq_SPA1979_phon"
119,"spa","Guarani","Stanford Phonology Archive","gregoressuarez1967;lunt1973;uldall1956","https://archive.org/details/gug_SPA1979_phon"
120,"spa","Amahuaca","Stanford Phonology Archive","osborn1948","https://archive.org/details/amc_SPA1979_phon"
121,"spa","Chacobo","Stanford Phonology Archive","prost1967","https://archive.org/details/cao_SPA1979_phon"
122,"spa","Apinaye","Stanford Phonology Archive","burgessham1968","https://archive.org/details/apn_SPA1979_phon"
123,"spa","Shilha","Stanford Phonology Archive","applegate1958","https://archive.org/details/rif_SPA1979_phon"
124,"spa","Hausa","Stanford Phonology Archive","kraftkraft1973;greenberg1941;abraham1959a;abraham1959;kraft1963;hodge1947;hodgeumaru1963;braunerashiwajn1965;kraftkirk-greene1973","https://archive.org/details/hau_SPA1979_phon"
125,"spa","Angas","Stanford Phonology Archive","burquest1971","https://archive.org/details/anc_SPA1979_phon"
126,"spa","Margi","Stanford Phonology Archive","hoffmann1963","https://archive.org/details/mrt_SPA1979_phon"
127,"spa","Somali","Stanford Phonology Archive","armstrong1964;andrzejewsky1955;andrzejewsky1956","https://archive.org/details/som_SPA1979_phon"
128,"spa","Awiya","Stanford Phonology Archive","hetzron1969","https://archive.org/details/awn_SPA1979_phon"
129,"spa","Iraqw","Stanford Phonology Archive","whiteley1958","https://archive.org/details/irk_SPA1979_phon"
130,"spa","Tigre","Stanford Phonology Archive","palmer1962","https://archive.org/details/tig_SPA1979_phon"
131,"spa","Amharic","Stanford Phonology Archive","leslau1968;klingenheben1966;sumner1957","https://archive.org/details/amh_SPA1979_phon"
132,"spa","Egyptian Arabic","Stanford Phonology Archive","mitchell1962;tomiche1964;kennedy1960","https://archive.org/details/arz_SPA1979_phon"
133,"spa","Moroccan Arabic","Stanford Phonology Archive","harrell1962;abdel-massih1973;harrell1965","https://archive.org/details/ary_SPA1979_phon"
134,"spa","Maltese","Stanford Phonology Archive","borg1973","https://archive.org/details/mlt_SPA1979_phon"
135,"spa","Modern Hebrew","Stanford Phonology Archive","chayen1973;cohenzafrani1968","https://archive.org/details/heb_SPA1979_phon"
136,"spa","Katcha","Stanford Phonology Archive","stevenson1957;tuckerbryan1966","https://archive.org/details/xtc_SPA1979_phon"
137,"spa","Kpelle","Stanford Phonology Archive","welmers1962;welmers1973","https://archive.org/details/xpe_SPA1979_phon"
