"ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code"
"kor","Korean","Eurasia",37.5,128,"kore1280","kor"
"ket","Ket","Eurasia",63.7551,87.5466,"kett1243","ket"
"lbe","Lak","Eurasia",42.1328,47.0809,"lakk1252","lbe"
"kbd","Kabardian","Eurasia",43.5082,43.3918,"kaba1278","kbd"
"kat","Georgian","Eurasia",41.850397,43.78613,"nucl1302","kat"
"bsk","Burushaski","Eurasia",36.2161,74.8236,"buru1296","bsk"
"kru","Kurukh","Eurasia",24.4644,86.4657,"kuru1302","kru"
"tel","Telugu","Eurasia",16.4529,78.7024,"telu1262","tel"
"kfe","Kota (India)","Eurasia",11.4978,76.9387,"kota1263","kfe"
"unr","Mundari","Eurasia",25.0391,87.1792,"mund1320","unr"
"khr","Kharia","Eurasia",22.3571,84.3922,"khar1287","khr"
"kha","Khasi","Eurasia",24.977,91.9998,"khas1269","kha"
"sed","Sedang","Eurasia",14.7793,108.027,"seda1262","sed"
"khm","Central Khmer","Eurasia",12.0515,105.015,"cent1989","khm"
"vie","Vietnamese","Eurasia",20.681188,105.774071,"viet1252","vie"
"cmn","Mandarin Chinese","Eurasia",40.0209,116.228,"mand1415","cmn"
"wuu","Wu Chinese","Eurasia",29.8621,119.682,"wuch1236","wuu"
"hak","Hakka Chinese","Eurasia",25,116,"hakk1236","hak"
"yue","Yue Chinese","Eurasia",23,113,"yuec1235","yue"
"ium","Iu Mien","Eurasia",20.83,101.17,"iumi1238","ium"
"njz","Nyishi-Hill Miri","Eurasia",26,93.5,"nyis1236","njz"
"mya","Burmese","Eurasia",20.7926,93.9665,"nucl1310","mya"
"lhu","Lahu","Eurasia",21.2701,100.214,"lahu1253","lhu"
"grt","Garo","Eurasia",25.2954,90.462,"garo1247","grt"
"ksw","S'gaw Karen","Eurasia",17.9872,97.7126,"sgaw1245","ksw"
"lbc","Lakkia","Eurasia",24.1169,110.106,"lakk1238","lbc"
"tha","Thai","Eurasia",14.192,100.671,"thai1261","tha"
"pcc","Bouyei","Eurasia",24.8484,106.187,"bouy1240","pcc"
"cja","Western Cham","Eurasia",12.4771,104.026,"west2650","cja"
