"ID","Name","Description","SegmentClass","tone","stress","syllabic","short","long","consonantal","sonorant","continuant","delayedRelease","approximant","tap","trill","nasal","lateral","labial","round","labiodental","coronal","anterior","distributed","strident","dorsal","high","low","front","back","tense","retractedTongueRoot","advancedTongueRoot","periodicGlottalSource","epilaryngealSource","spreadGlottis","constrictedGlottis","fortis","raisedLarynxEjective","loweredLarynxImplosive","click"
"3bff843fa918065aa88e47217358c573","a","LATIN SMALL LETTER A","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
"eb735919b725c5b318e42da4ec5f0b56","aː","LATIN SMALL LETTER A - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","-","-","0","-","-","+","-","-","-","0","-","-","0"
"135e8fb54aece0d5717d474be163d1db","æ","LATIN SMALL LETTER AE","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","+","-","0","-","-","+","-","-","-","0","-","-","0"
"ae860bae855ddd8da79f63e45c1f143f","æː","LATIN SMALL LETTER AE - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","+","+","-","0","-","-","+","-","-","-","0","-","-","0"
"fa1f0cd01c7cb09df4101d6e679ecbba","e","LATIN SMALL LETTER E","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","-","+","-","+","-","-","+","-","-","-","0","-","-","0"
"a12b4703feda121294abc424ef81fa79","eː","LATIN SMALL LETTER E - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","-","+","-","+","-","-","+","-","-","-","0","-","-","0"
"626a5ca2558b3e4f32f94124e77e7440","ɤ","LATIN SMALL LETTER RAMS HORN","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"99b86c5b19e188af74876cd0c4dbfdae","ɤː","LATIN SMALL LETTER RAMS HORN - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","-","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"9c3b7d74d9d3ff1cf0fd387f6f9d11a9","h","LATIN SMALL LETTER H","consonant","0","-","-","-","-","-","-","+","+","-","-","-","-","-","-","0","0","-","0","0","0","-","0","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"6a4e4a2be0414fb5e1d4489103854554","i","LATIN SMALL LETTER I","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","+","-","+","-","-","+","-","-","-","0","-","-","0"
"3c96faac857915dc9563bf1baf397d97","iː","LATIN SMALL LETTER I - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","+","-","+","-","-","+","-","-","-","0","-","-","0"
"924637ebde74b1b360164b03d93f06ac","j","LATIN SMALL LETTER J","consonant","0","-","-","-","-","-","+","+","0","+","-","-","-","-","-","0","0","-","0","0","0","+","+","-","+","-","+","0","0","+","-","-","-","-","-","-","-"
"a134aef3b08c1a78f0beca7af4d84b2a","k","LATIN SMALL LETTER K","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","0","0","-","-","-","-","-","-","-","-"
"356b49cbcd8c004cf5f55629040f3810","kʰ","LATIN SMALL LETTER K - MODIFIER LETTER SMALL H","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","0","0","-","-","+","-","-","-","-","-"
"071822656e1b231abde3c99fe716fb5d","kˀ","LATIN SMALL LETTER K - MODIFIER LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","-","0","0","0","+","+","-","-","-","0","0","0","-","-","-","+","-","-","-","-"
"a91946f095dc896ef557e89f4697fe5c","l","LATIN SMALL LETTER L","consonant","0","-","-","-","-","+","+","+","0","+","-","-","-","+","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","+","-","-","-","-","-","-","-"
"4b5f82c7a85e713fb168f6c2af8c7ea1","m","LATIN SMALL LETTER M","consonant","0","-","-","-","-","+","+","-","0","-","-","-","+","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","+","-","-","-","-","-","-","-"
"1c782187503587e7022ef709addddcac","n","LATIN SMALL LETTER N","consonant","0","-","-","-","-","+","+","-","0","-","-","-","+","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","+","-","-","-","-","-","-","-"
"03790304ac109316dab3668390a3abc2","ŋ","LATIN SMALL LETTER ENG","consonant","0","-","-","-","-","+","+","-","0","-","-","-","+","-","-","0","0","-","0","0","0","+","+","-","-","-","0","0","0","+","-","-","-","-","-","-","-"
"89d8243c07566bd28dfa29751cb90043","o","LATIN SMALL LETTER O","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"05a2cd4b1c5614ba32842854f48a1d7d","ø","LATIN SMALL LETTER O WITH STROKE","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","+","-","+","-","-","+","-","-","-","0","-","-","0"
"90e942c7ce7381f852f82fed2fa11a0d","oː","LATIN SMALL LETTER O - MODIFIER LETTER TRIANGULAR COLON","vowel","0","-","+","-","+","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","-","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
"eff3454ba66138b0a6ce9adb5dac88c1","p","LATIN SMALL LETTER P","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"2486343a3dfa978bbeccf399eae1f548","pʰ","LATIN SMALL LETTER P - MODIFIER LETTER SMALL H","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"65a35801c201d9caa5629f56a3934836","pˀ","LATIN SMALL LETTER P - MODIFIER LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-","0","0","0","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-","-"
"275d37cf1347421530b263c0075624d0","s","LATIN SMALL LETTER S","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"38b221df8eaf5aea9d7f0e5de2df1089","sˀ","LATIN SMALL LETTER S - MODIFIER LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-","-"
"779e8f63e7a0ffc567df3cf4ca96a4d8","t","LATIN SMALL LETTER T","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"4be146d81ab465fa78044055a2935ff9","tʰ","LATIN SMALL LETTER T - MODIFIER LETTER SMALL H","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"ac733a4bcfbbaa994168e7bba4c5a18d","t̠ʃ","LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH","consonant","0074+0283","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-"
"633765fb49b83ae704460bd78ce3ad89","t̠ʃʰ","LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL H","consonant","0074+0283","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"89719551c54f7b4aa3cdb8de35cc0de9","t̠ʃˀ","LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH - MODIFIER LETTER GLOTTAL STOP","consonant","0074+0283","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","0","-","-","+","-","-","-","-"
"f3e260f870467551e17b84c2393bd8f5","tˀ","LATIN SMALL LETTER T - MODIFIER LETTER GLOTTAL STOP","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-","-"
"0db4e997afeafb689454d224b1e0c1dc","u","LATIN SMALL LETTER U","vowel","0","-","+","-","-","-","+","+","0","+","-","-","-","-","+","+","-","-","0","0","0","+","+","-","-","+","+","-","-","+","-","-","-","0","-","-","0"
